Artist	Title	Label	Number	Matrix	Year	link_MP3
http://www.jazz-on-line.com/a/mp3w/1942_248.mp3	Carson Robison	1942 Turkey In The Straw	BLUEBIRD	11460	071720	1942	
http://www.jazz-on-line.com/a/mp3e/V-D145A2.mp3	Carson Robison	1944 Nursery Rhymes	V-DISC	145A2			
http://www.jazz-on-line.com/a/mp3c/VIC70654.mp3	Jimmie Davis	1982 Blues	VICTOR	23688	70654	1932	
http://www.jazz-on-line.com/a/mp3o/DEC67818.mp3	Louis Armstrong And His Orch.	2.19 Blues	DECCA	25099	67818	1940	
http://www.jazz-on-line.com/a/mp3w/1955_213.mp3	Georgia Gibbs	24 Hours A Day (365 A Year)	Mercury	70743		1955	
http://www.jazz-on-line.com/a/mp3b/SUNSRC100.mp3	Joe Sullivan (piano)	24 Hours At Booth's	SUNSET	100-53	SRC100	1944	
http://www.jazz-on-line.com/a/mp3d/Pat70425.mp3	Henderson's ''club Alabam'' Orchestra	31st Street Blues	Path? Actuelle	036042	70425	1923	
http://www.jazz-on-line.com/a/mp3c/BLU053207.mp3	Harlan Leonard & His Rockets	400 Swing	BLUEBIRD	10823	053207	1940	
http://www.jazz-on-line.com/a/mp3b/Joh037.mp3	Jack Hylton And His Orchestra	42nd Street-medley Part 1 And 2 (v Pat O’malley)	Decca	F-3619	GB-6031-2  GB-6032-2	1933	
http://www.jazz-on-line.com/a/mp3c/DEC69520-B.mp3	Andy Kirk & Clouds Of Joy	47th Street Jive	DECCA	4042A	69520-B	1941	
http://www.jazz-on-line.com/a/mp3d/Dec69520-B.mp3	Andy Kirk And His Twelve Clouds Of Joy	47th Street Jive	Decca	4042	69520-B	1941	
http://www.jazz-on-line.com/a/mp3w/1956_281.mp3	Ames Brothers	49 Shades Of Green	RCA	6608		1956	
http://www.jazz-on-line.com/a/mp3t/TS481518.mp3	Charles Mingus	51st Street Blues	Bethlehem	BCP6019	Tk 4	1957	Clarence ?Gene? Shaw (tp), Jimmy Knepper (tb), Shafi Hadi (ts), Bill Evans (p), Charles Mingus (sb), Dannie Richmond (dm)
http://www.jazz-on-line.com/a/mp3c/BLU1568h.mp3	Bud Powell's Modernists	52nd Street Theme	BLUENOTE	1568		1949	
http://www.jazz-on-line.com/a/mp3c/COL402220A.mp3	 Earl Hines	57 Varieties	COLUMBIA	2800 D	402220A		
http://www.jazz-on-line.com/a/mp3c/DEC68332-A.mp3	Pete Johnson & His Band	627 Stomp	DECCA	18121A	68332-A	1940	
http://www.jazz-on-line.com/a/mp3t/TS480674.mp3	Teddy Wilson & His Orch.	71	Columbia	35737	26438-A	1940	Karl George, Harold Baker, Doc Cheatham (tp), Jack Wiley (tb), Pete Clark (cl, as, bar), Rudy Powell (cl, as), Ben Webster, George Irish (ts), Teddy Wilson (p), Al Casey (g), Al Hall (sb), J.C. Heard (dm)
http://www.jazz-on-line.com/a/mp3c/DEC66634-A.mp3	Jan Savitt & His Top Hatters	720 In The Books	DECCA	2771B	66634-A	1939	
http://www.jazz-on-line.com/a/mp3c/BLU047016.mp3	Charlie Barnet & His Orchestra	720 In The Books	BLUEBIRD	10618	047016	1940	
http://www.jazz-on-line.com/a/mp3d/OkeC-3678-1.mp3	Count Basie And His Orchestra	9.20 Special	Okeh	6244	C-3678-1	1941	
http://www.jazz-on-line.com/a/mp3a/OKEWC3678.mp3	Count Basie And His Orchestra	9:20 Special	OKEH	6244	WC3678	1941	
http://www.jazz-on-line.com/a/mp3w/1956_396.mp3	Ella Fitzgerald	A Beautiful Friendship	Verve	2012		1956	
http://www.jazz-on-line.com/a/mp3o/DECC90523-A.mp3	Jan Garber And His Orchestra, Vocal By Lew Palmer	A Beautiful Lady In Blue	DECCA	651A	C90523-A	1935	
http://www.jazz-on-line.com/a/mp3w/1936_017.mp3	Jan Garber And His Orchestra	A Beautiful Lady In Blue	DECCA	651A	C90523-A	1936	
http://www.jazz-on-line.com/a/mp3c/BLU047640.mp3	Byron Parker Mountaineers	A Beautiful Life	BLUEBIRD	8476	047640	1940	
http://www.jazz-on-line.com/a/mp3c/COL26462.mp3	Mildred Bailey	A Bee Gezindt	COLUMBIA	35409	26462	1940	
http://www.jazz-on-line.com/a/mp3d/VocWM-1113-A.mp3	Cab Calloway And His Orchestra	A Bee Gezindt	Vocalion	5267	WM-1113-A	1939	
http://www.jazz-on-line.com/a/mp3b/ColW149840-4.mp3	Paul Whiteman Rytm Boy's (vocal Bing Crosby)	A Bench In The Park	Columbia	E DB282	W149840-4	1930	
http://www.jazz-on-line.com/a/mp3b/ColW149825-2.mp3	Paul Whiteman And His Orchestra (vocal Bing Crosby)	A Bench In The Park	Columbia	E CB86	W149825-2	1930	
http://www.jazz-on-line.com/a/mp3b/ColW149825-1.mp3	Paul Whiteman And His Orchestra (vocal Bing Crosby)	A Bench In The Park	Columbia	test	W149825-1	1930	
http://www.jazz-on-line.com/a/mp3c/BLUBS045943.mp3	Deep River Boys	A Bird In The Hand	BLUEBIRD	10847	BS045943	1940	
http://www.jazz-on-line.com/a/mp3w/1955_020.mp3	Nat ''king'' Cole	A Blossom Fell	Capitol	3095		1955	
http://www.jazz-on-line.com/a/mp3a/BLU85512-1.mp3	Frank Blackwell	A Blues	BLUEBIRD	5914	85512-1	1935	
http://www.jazz-on-line.com/a/mp3c/BRUM880-1.mp3	Duke Ellington's Famous Orchestra	A Blues Serenade	BRUNSWICK	8221	M880-1	1938	
http://www.jazz-on-line.com/a/mp3c/ARC17379.mp3	Glenn Miller & His Orchestra	A Blues Serenade (vsb)	ARC	CO3051D	17379	1935	
http://www.jazz-on-line.com/a/mp3w/1948_312.mp3	King Cole Trio	A Boy From Texas	CAPITOL	15085		1948	
http://www.jazz-on-line.com/a/mp3b/Voc22370-1.mp3	Maxine Sullivan (orchestra Under Direction Claude Thornhill)	A Brown Bird Singing	Vocalion	4068	22370-1  	1938	
http://www.jazz-on-line.com/a/mp3o/EDI9174.mp3	Original Memphis Five	A Bunch Of Blues - Drag Foxtrot (kelly & Wyer)	EDISON		9174		
http://www.jazz-on-line.com/a/mp3w/1899_019.mp3	Vess Ossman	A Bunch Of Rags	MONARCH	V-0153	B6508-1	1899	
http://www.jazz-on-line.com/a/mp3b/COLW149158.mp3	Paul Whiteman & His Orchestra	A Bundle Of Old Love Letters	COLUMBIA	2047 D	W149158	1929	
http://www.jazz-on-line.com/a/mp3b/ColW194379-3.mp3	Paul Whiteman And His Orchestra (bing Crosby Solo)	A Bundle Of Old Love Letters	Columbia	E 5724	W194379-3	1929	
http://www.jazz-on-line.com/a/mp3w/1950_166.mp3	Doris Day	A Bushel And A Peck	COLUMBIA	39008	HCO4259	1950	
http://www.jazz-on-line.com/a/mp3a/RCA20-3930x.mp3	Perry Como And Betty Hutton, Orchestra Of Mitchell Ayres	A Bushel And A Peck	RCA	20-3930		1950	
http://www.jazz-on-line.com/a/mp3c/COLHCO4259.mp3	Doris Day	A Bushel And A Peck	COLUMBIA	39008	HCO4259	1950	
http://www.jazz-on-line.com/a/mp3w/1951_208.mp3	Andrews Sisters	A Bushel And A Peck	DECCA	27252		1951	
http://www.jazz-on-line.com/a/mp3w/1950_029.mp3	Perry Como And Betty Hutton Feat. Mitchell Ayres' Orchestra	A Bushel And A Peck	RCA Victor	3930		1950	
http://www.jazz-on-line.com/a/mp3w/1950_321.mp3	Johnny Desmond Feat. Tony Mottola's Orchestra And Ray Charles Singers	A Bushel And A Peck	MGM	10800	50S266	1950	
http://www.jazz-on-line.com/a/mp3c/BLU053133.mp3	Glenn Miller & His Orchestra	A Cabana In Havana	BLUEBIRD	10776	053133	1940	
http://www.jazz-on-line.com/a/mp3b/COLCO54389.mp3	Frankie Laine	A Capitol Ship	COLUMBIA	40669	CO54389		
http://www.jazz-on-line.com/a/mp3w/1956_194.mp3	Six Teens	A Casual Look	Flip	315		1956	
http://www.jazz-on-line.com/a/mp3w/1956_398.mp3	Sanford Clark	A Cheat	Dot	15516		1956	
http://www.jazz-on-line.com/a/mp3e/OKE28863.mp3	Cab Calloway And His Orch	A Chicken Ain't Nothin' But A Bird	OKEH	5847	28863	1940	
http://www.jazz-on-line.com/a/mp3c/DEC68169.mp3	Louis Jordan & His Tympani 5	A Chicken Ain't Nothin' But A Bird	DECCA	8501	68169	1940	
http://www.jazz-on-line.com/a/mp3w/1953_234.mp3	Leroy Anderson And His "pops" Concert Orchestra	A Christmas Festival	DECCA	16041		1953	
